Comm1,Comm2,Crit_Think,Electives
COMM 100,COMM 110,COMM 103,COMM 100
COMM 130,COMM 125,ENGL 103,COMM 103
SPCH 100,SPCH 110,ENGL 110,COMM 110
SPCH 130,SPCH 125,INST 100,COMM 130
,,PHIL 103,COMM 115
,,PHIL 106,WGS 115
,,PSYC 103,COMM 120
,,READ 103,COMM 125
,,SPCH 103,COMM 132
,,,COMM 140
,,,COMM 145
,,,COMM 200
,,,COMM 231
,,,COMM 232
,,,COMM 233
,,,COUN 150
,,,COUN 200
,,,ENGL 103
,,,ENGL 110
,,,INST 100
,,,LIBR 100
,,,LIBR 101
,,,PHIL 103
,,,PHIL 106
,,,PSYC 103
,,,PSYC 220
,,,READ 102
,,,READ 103
,,,SOC 205
,,,SPCH 100
,,,SPCH 103
,,,SPCH 110
,,,SPCH 130
,,,SPCH 115
,,,SPCH 120
,,,SPCH 125
,,,SPCH 132
,,,SPCH 140
,,,SPCH 145
,,,SPCH 200
,,,SPCH 231
,,,SPCH 232
,,,SPCH 233
